date,latitude,longitude,pressure_msl
2024-11-26,5.25,68.875,1009.4458333333333
2024-11-26,5.25,69.125,1009.3791666666666
2024-11-26,5.25,69.375,1009.3666666666667
2024-11-26,5.25,69.625,1009.3208333333333
2024-11-26,5.25,69.875,1009.2958333333332
2024-11-26,5.25,70.125,1009.2041666666668
2024-11-26,5.25,70.375,1009.15
2024-11-26,5.25,70.625,1009.1041666666666
2024-11-26,5.25,70.875,1009.0625
2024-11-26,5.25,71.125,1009.0541666666667
2024-11-26,5.25,71.375,1009.0291666666667
2024-11-26,5.25,71.625,1008.9833333333332
2024-11-26,5.25,71.875,1008.9458333333333
2024-11-26,5.25,72.125,1008.9041666666667
2024-11-26,5.25,72.375,1008.875
2024-11-26,5.25,72.625,1008.8375
2024-11-26,5.25,72.875,1008.8291666666668
2024-11-26,5.25,73.125,1008.7833333333333
2024-11-26,5.25,73.375,1008.7583333333333
2024-11-26,5.25,73.625,1008.7291666666666
2024-11-26,5.25,73.875,1008.7208333333333
2024-11-26,5.25,74.125,1008.6875
2024-11-26,5.25,74.375,1008.6708333333332
2024-11-26,5.25,74.625,1008.65
2024-11-26,5.25,74.875,1008.6291666666666
2024-11-26,5.25,75.125,1008.5875
2024-11-26,5.25,75.375,1008.5875
2024-11-26,5.25,75.625,1008.6041666666666
2024-11-26,5.25,75.875,1008.6
2024-11-26,5.25,76.125,1008.5916666666667
2024-11-26,5.25,76.375,1008.5708333333333
2024-11-26,5.25,76.625,1008.4833333333332
2024-11-26,5.25,76.875,1008.4250000000001
2024-11-26,5.25,77.125,1008.3791666666666
2024-11-26,5.25,77.375,1008.2541666666666
2024-11-26,5.25,77.625,1008.1750000000001
2024-11-26,5.25,77.875,1008.1041666666666
2024-11-26,5.25,78.125,1007.9666666666667
2024-11-26,5.25,78.375,1007.8666666666667
2024-11-26,5.25,78.625,1007.6916666666666
2024-11-26,5.25,78.875,1007.4875000000001
2024-11-26,5.25,79.125,1007.3083333333334
2024-11-26,5.25,79.375,1007.0
2024-11-26,5.25,79.625,1006.7875
2024-11-26,5.25,79.875,1006.3333333333334
2024-11-26,5.25,80.125,1006.1166666666667
